table,status,records_after_normalize,with_address,with_address_comment,with_settlement,with_district,with_territory,with_coords,with_event_date,resolved_address,resolved_address_comment,resolved_arrival_time,resolved_casualty_flag,resolved_consequence,resolved_deaths,resolved_destroyed_area,resolved_destroyed_buildings,resolved_detection_time,resolved_distance_to_fire_station,resolved_district,resolved_event_date,resolved_injuries,resolved_latitude,resolved_longitude,resolved_object_category,resolved_object_name,resolved_registered_damage,resolved_report_time,resolved_settlement,resolved_settlement_type,resolved_territory_label,resolved_water_supply_count,resolved_water_supply_details
clean_STAT2005_decoded,ok,5623,4061,4061,5623,0,5623,0,5623,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2006_decoded,ok,5354,5005,5005,5354,0,5354,0,5354,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2007_decoded,ok,5060,2985,2985,5060,0,5060,0,5060,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2008_decoded,ok,4523,4511,4511,4523,0,4523,0,4523,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,,"F83 | P50_1 | Количество техники, ед",
clean_STAT2009_decoded,ok,11195,11195,11195,11195,0,11195,0,11195,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2010_decoded,ok,14273,14272,14272,14273,0,14273,0,14273,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2011_decoded,ok,17249,17245,17245,17249,0,17249,0,17249,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2012_decoded,ok,17337,17329,17329,17337,0,17337,0,17337,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2013_decoded,ok,23578,23576,23576,23578,0,23578,0,23578,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2014_decoded,ok,16300,16298,16298,16300,0,16300,0,16300,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2015_decoded,ok,15078,15077,15077,15078,0,15078,0,15078,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2016_decoded,ok,23959,23958,23958,23959,0,23959,0,23959,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_stat2017_decoded,ok,14549,14542,14542,14549,0,14549,0,14543,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_stat2018_decoded,ok,8727,8725,8725,8727,0,8727,0,8725,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F150 | NAME_O | Наименование объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2020_decoded,ok,9749,9749,9749,9749,0,9749,0,9749,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F61 | P41_1 | Время обнаружения, час.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
